pitcher_id,pitcher_name,team,opponent,home_away,game_date,throws,recent_csw,recent_swstr,recent_pitches,recent_games,ks_actual
686218,,Los Angeles Dodgers,Boston Red Sox,away,2025-07-25,R,0.24318181818181817,0.12244897959183673,343,5,5.0
607259,,Cincinnati Reds,Tampa Bay Rays,home,2025-07-25,R,0.23371879620520436,0.07029478458049887,441,5,5.0
641793,,Tampa Bay Rays,Cincinnati Reds,away,2025-07-25,R,0.24038790348023004,0.09131403118040089,449,5,2.0
672456,,Detroit Tigers,Toronto Blue Jays,home,2025-07-25,R,0.2575323302386657,0.06128133704735376,359,5,3.0
621244,,Toronto Blue Jays,Detroit Tigers,away,2025-07-25,R,0.2336637750711783,0.07360406091370558,394,5,6.0
571945,,St. Louis Cardinals,San Diego Padres,home,2025-07-25,R,0.2607451446713937,0.08997429305912596,389,5,1.0
601713,,San Diego Padres,St. Louis Cardinals,away,2025-07-25,R,0.2938122605363985,0.11578947368421053,475,5,4.0
605288,,Chicago White Sox,Chicago Cubs,home,2025-07-25,R,0.24793369281321084,0.07709750566893424,441,5,3.0
684007,,Chicago Cubs,Chicago White Sox,away,2025-07-25,L,0.24952331988299387,0.10779816513761468,436,5,2.0
543135,,Texas Rangers,Atlanta Braves,home,2025-07-25,R,0.297796777625779,0.129973474801061,377,5,7.0
666214,,Atlanta Braves,Texas Rangers,away,2025-07-25,L,0.2772866708516426,0.13178294573643412,258,5,6.0
687473,,Houston Astros,Athletics,home,2025-07-25,R,0.24515432098765427,0.13026819923371646,261,5,5.0
605488,,Athletics,Houston Astros,away,2025-07-25,L,0.26481567160006725,0.09090909090909091,451,5,5.0
805673,,Minnesota Twins,Washington Nationals,home,2025-07-25,R,0.3129368661283555,0.14146341463414633,410,5,7.0
669022,,Washington Nationals,Minnesota Twins,away,2025-07-25,L,0.25873772483637614,0.1022964509394572,479,5,4.0
667755,,Los Angeles Angels,Seattle Mariners,home,2025-07-25,R,0.2713909627467824,0.10792951541850221,454,5,5.0
693433,,Seattle Mariners,Los Angeles Angels,away,2025-07-25,R,0.2716675196439645,0.13958333333333334,480,5,6.0
657277,,San Francisco Giants,New York Mets,home,2025-07-25,R,0.264887735721069,0.09051724137931035,464,5,4.0
605280,,New York Mets,San Francisco Giants,away,2025-07-25,R,0.2655375232611615,0.08370044052863436,454,5,2.0
608379,,Kansas City Royals,Cleveland Guardians,home,2025-07-25,R,0.27395240469543763,0.14349775784753363,446,5,
668909,,Cleveland Guardians,Kansas City Royals,away,2025-07-25,R,0.27647260966242165,0.12605042016806722,476,5,
573186,,New York Yankees,Philadelphia Phillies,home,2025-07-26,R,0.20782526662282233,0.08158508158508158,429,5,4
624133,,Philadelphia Phillies,New York Yankees,away,2025-07-26,L,0.2813703703703704,0.10625,480,5,8
608379,,Kansas City Royals,Cleveland Guardians,home,2025-07-26,R,0.25728573802877097,0.11778290993071594,433,5,5
668909,,Cleveland Guardians,Kansas City Royals,away,2025-07-26,R,0.2697414108537843,0.12340425531914893,470,5,3
663460,,Kansas City Royals,Cleveland Guardians,home,2025-07-26,L,0.2851842745130181,0.10173697270471464,403,5,1
676440,,Cleveland Guardians,Kansas City Royals,away,2025-07-26,R,0.2881130997034973,0.12168141592920353,452,5,8
669373,,Detroit Tigers,Toronto Blue Jays,home,2025-07-26,L,0.33725912389427404,0.17721518987341772,474,5,7
592332,,Toronto Blue Jays,Detroit Tigers,away,2025-07-26,R,0.30245461570716947,0.14256198347107438,484,5,10
571760,,Pittsburgh Pirates,Arizona Diamondbacks,home,2025-07-26,L,0.2518071306339889,0.06983240223463687,358,5,4
518876,,Arizona Diamondbacks,Pittsburgh Pirates,away,2025-07-26,R,0.23811404599328015,0.09287257019438445,463,5,3
671096,,Cincinnati Reds,Tampa Bay Rays,home,2025-07-26,L,0.2729443662632517,0.1091703056768559,458,5,7
686752,,Tampa Bay Rays,Cincinnati Reds,away,2025-07-26,R,0.2569814271749756,0.1222707423580786,458,5,6
669432,,Baltimore Orioles,Colorado Rockies,home,2025-07-26,L,0.27100885225885224,0.12688172043010754,465,5,5
622608,,Colorado Rockies,Baltimore Orioles,away,2025-07-26,,0.23576178207757156,0.08029197080291971,411,5,3
677958,,Texas Rangers,Atlanta Braves,home,2025-07-26,R,0.2687951578052687,0.11161731207289294,439,5,5
656550,,Atlanta Braves,Texas Rangers,away,2025-07-26,R,0.25737497223711936,0.13646055437100213,469,5,2
686613,,Houston Astros,Athletics,home,2025-07-26,R,0.27297636984924734,0.12473572938689217,473,5,5
682052,,Athletics,Houston Astros,away,2025-07-26,L,0.24783645659806303,0.10411622276029056,413,5,4
657746,,Minnesota Twins,Washington Nationals,home,2025-07-26,R,0.2947519470033297,0.1367713004484305,446,5,5
680730,,Washington Nationals,Minnesota Twins,away,2025-07-26,L,0.2535501660110887,0.08924485125858124,437,5,4
650644,,Chicago White Sox,Chicago Cubs,home,2025-07-26,R,0.2453941378528393,0.07009345794392523,428,5,6
690990,,Chicago Cubs,Chicago White Sox,away,2025-07-26,R,0.2864862397210245,0.12672811059907835,434,5,3
500779,,Milwaukee Brewers,Miami Marlins,home,2025-07-26,L,0.24678772735050475,0.05844155844155844,462,5,2
676083,,Miami Marlins,Milwaukee Brewers,away,2025-07-26,R,0.2350860966427374,0.08395061728395062,405,5,5
676979,,Boston Red Sox,Los Angeles Dodgers,home,2025-07-26,L,0.2898193074982802,0.13347022587268995,487,5,10
477132,,Los Angeles Dodgers,Boston Red Sox,away,2025-07-26,L,0.28964217828838457,0.09624413145539906,426,5,2
669461,,St. Louis Cardinals,San Diego Padres,home,2025-07-26,,0.24659188637697732,0.08705882352941176,425,5,3
681190,,San Diego Padres,St. Louis Cardinals,away,2025-07-26,R,0.20069457335940283,0.0392156862745098,408,5,2
592662,,San Francisco Giants,New York Mets,home,2025-07-26,L,0.23630280459732605,0.10408163265306122,490,5,3
656849,,New York Mets,San Francisco Giants,away,2025-07-26,L,0.27556236226452324,0.08547008547008547,468,5,4
542881,,Los Angeles Angels,Seattle Mariners,home,2025-07-26,L,0.251755715548819,0.09839816933638444,437,5,1
