pitcher_id,pitcher_name,pitch_type,usage_pct,whiff_rate
607536,Kyle Freeland,FF,0.4407894736842105,0.05223880597014925
607536,Kyle Freeland,KC,0.29605263157894735,0.2111111111111111
607536,Kyle Freeland,ST,0.0756578947368421,0.08695652173913043
683004,Jack Leiter,CH,0.23098591549295774,0.17073170731707318
683004,Jack Leiter,CU,0.10422535211267606,0.1891891891891892
683004,Jack Leiter,FF,0.38309859154929576,0.1323529411764706
683004,Jack Leiter,SI,0.12112676056338029,0.0
683004,Jack Leiter,SL,0.16056338028169015,0.10526315789473684
543101,Anthony DeSclafani,CH,0.2018348623853211,0.20454545454545456
543101,Anthony DeSclafani,FF,0.1559633027522936,0.058823529411764705
543101,Anthony DeSclafani,KC,0.1743119266055046,0.13157894736842105
543101,Anthony DeSclafani,SI,0.17889908256880735,0.0
543101,Anthony DeSclafani,SL,0.25688073394495414,0.17857142857142858
543101,Anthony DeSclafani,ST,0.03211009174311927,0.0
681293,Spencer Arrighetti,CH,0.11627906976744186,0.2
681293,Spencer Arrighetti,CU,0.20930232558139536,0.16666666666666666
681293,Spencer Arrighetti,FC,0.18604651162790697,0.25
681293,Spencer Arrighetti,FF,0.32558139534883723,0.10714285714285714
681293,Spencer Arrighetti,SI,0.023255813953488372,0.0
681293,Spencer Arrighetti,ST,0.13953488372093023,0.16666666666666666
669160,Dustin May,FC,0.1791044776119403,0.10416666666666667
669160,Dustin May,FF,0.21641791044776118,0.06896551724137931
669160,Dustin May,SI,0.26865671641791045,0.041666666666666664
669160,Dustin May,ST,0.3358208955223881,0.15555555555555556
686218,Emmet Sheehan,CH,0.19243986254295534,0.10714285714285714
686218,Emmet Sheehan,CU,0.061855670103092786,0.0
686218,Emmet Sheehan,FF,0.49828178694158076,0.09655172413793103
686218,Emmet Sheehan,SL,0.24742268041237114,0.19444444444444445
592662,Robbie Ray,CH,0.16565656565656567,0.13414634146341464
592662,Robbie Ray,FF,0.43434343434343436,0.08837209302325581
592662,Robbie Ray,KC,0.15757575757575756,0.1282051282051282
592662,Robbie Ray,SL,0.21818181818181817,0.1388888888888889
592662,Robbie Ray,ST,0.024242424242424242,0.08333333333333333
641482,Nestor Cortes,CH,0.07894736842105263,0.3333333333333333
641482,Nestor Cortes,FC,0.40789473684210525,0.12903225806451613
641482,Nestor Cortes,FF,0.3684210526315789,0.10714285714285714
641482,Nestor Cortes,SI,0.013157894736842105,0.0
641482,Nestor Cortes,ST,0.13157894736842105,0.1
682052,Jacob Lopez,CH,0.14105793450881612,0.10714285714285714
682052,Jacob Lopez,FC,0.0982367758186398,0.1282051282051282
682052,Jacob Lopez,FF,0.3979848866498741,0.0949367088607595
682052,Jacob Lopez,SI,0.08312342569269521,0.030303030303030304
682052,Jacob Lopez,SL,0.2795969773299748,0.12612612612612611
669358,Shane Baz,CH,0.05737704918032787,0.09523809523809523
669358,Shane Baz,FC,0.22950819672131148,0.11904761904761904
669358,Shane Baz,FF,0.45901639344262296,0.10714285714285714
669358,Shane Baz,KC,0.2540983606557377,0.13978494623655913
